Directory	KS Statistic	KS P-value	Number of P-values	ENRICH_LOG
sim31_smo35_clus21	0.30517015696898153	0.0014829833646721191	37	4.169746337760413
sim40_smo45_clus25	0.3059691154124278	0.0005483779474273476	42	4.389397908461708
sim31_smo45_clus15	0.27575999213973856	0.0016224004656022473	45	4.536769412057494
sim31_smo41_clus25	0.2939303038861433	0.0010378634278466192	42	4.0032477237519215
sim40_smo41_clus15	0.29329432373660624	0.0010726167162034006	42	4.662622574953139
sim31_smo31_clus11	0.3719141125607355	0.00013225621141565666	33	4.282677401805239
sim40_smo31_clus21	0.40852130887461746	1.712119535981203e-05	33	4.229500550324549
sim40_smo45_clus31	0.29220127032703047	0.0011348848357164432	42	4.484863798107796
sim35_smo25_clus25	0.4134526910937716	3.721162899837681e-05	30	3.7830298401723637
sim31_smo15_clus11	0.516773885034974	9.750167443156442e-06	21	4.206229392414739
sim40_smo15_clus21	0.5756376798142475	4.015611527989786e-07	21	3.961132131043394
sim31_smo41_clus15	0.2708552319217007	0.0028133301222950102	43	4.369080679181555
sim40_smo41_clus25	0.3080096034366666	0.0007234548372796468	40	4.789500534688793
sim31_smo45_clus31	0.3004199637093281	0.0006140789624360377	43	4.73962123581594
sim31_smo31_clus21	0.3565087537885805	0.00038068975339316987	32	4.320017743386324
sim40_smo31_clus11	0.4390451096235376	1.7491550489525291e-06	34	4.4281072509673205
sim35_smo21_clus31	0.478251706857217	2.075458669362825e-06	28	4.136855791798459
sim31_smo15_clus21	0.49402981143806507	4.96905293481987e-05	20	3.9779211893780007
sim40_smo15_clus11	0.5739743440139264	2.15683227929599e-07	22	4.205870555588814
sim35_smo25_clus15	0.4055116739804375	4.048826518933952e-05	31	4.24011587990566
sim35_smo15_clus31	0.5395023214280834	3.009716204202012e-06	21	4.113347840474271
sim35_smo11_clus15	0.524565278510893	3.8579419843893386e-05	18	4.46173847451817
sim31_smo21_clus21	0.39550232394208107	0.00035287790706689645	26	4.2052557478094785
sim40_smo21_clus11	0.5297601261908216	7.379364672159596e-08	28	4.241896806755689
sim35_smo45_clus21	0.29813424585242965	0.00048341301615395516	45	4.615253052973288
sim35_smo31_clus31	0.36531372707547416	0.00024606435414984085	32	4.140696226493594
sim35_smo35_clus15	0.30719251076573817	0.0013463955027258612	37	4.542152119516724
sim31_smo21_clus11	0.4443109707095282	1.479668836903371e-05	28	4.209885743652632
sim40_smo21_clus21	0.4870075416449965	3.3216563644449028e-06	26	4.025153144732782
sim35_smo11_clus25	0.505669776566344	0.0001497271581305075	17	4.1200204819619355
sim35_smo45_clus11	0.26631644557714584	0.003501640678711615	43	4.406097752024179
sim35_smo35_clus25	0.3335358286381316	0.00028564411475000983	38	4.448475510914187
