symbol	n	sources	ngc	cosm1	cancermine	cacao	germ	driver	cos_fu	hmf_fu	tumorsuppressor	oncogene	fusion	tier1
AXL	8	PMCC|TS500|TEMPUS|oncokb|msk_impact|msk_heme|foundation_one|foundation_one_heme	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
B2M	10	TS500|TEMPUS|NGC_known|NGC_other|oncokb|msk_impact|msk_heme|foundation_one_heme|vogelstein|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
BABAM1	2	oncokb|msk_impact	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
BACH2	2	oncokb|msk_heme	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
BAP1	16	predispose|AZ300|PMCC|TS500|TEMPUS|familial_cancer|NGC_known|NGC_other|cancermine|oncokb|msk_impact|msk_heme|foundation_one|foundation_one_heme|vogelstein|cosmic1	TRUE	TRUE	TRUE	FALSE	TRUE	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
BARD1	12	predispose|PMCC|TS500|TEMPUS|familial_cancer|NGC_known|oncokb|msk_impact|msk_heme|foundation_one|foundation_one_heme|cosmic1	TRUE	TRUE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
BAX	2	NGC_known|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
BAZ1A	2	NGC_known|cosmic2	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
BBC3	3	TS500|oncokb|msk_impact	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
BCL10	8	TS500|TEMPUS|NGC_known|oncokb|msk_impact|msk_heme|foundation_one_heme|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
BCL11A	3	NGC_known|foundation_one_heme|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
BCL11B	7	TEMPUS|NGC_known|NGC_other|oncokb|msk_heme|foundation_one_heme|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
BCL2	14	PMCC|TS500|TEMPUS|NGC_known|NGC_other|cancermine|oncokb|msk_impact|msk_heme|foundation_one|foundation_one_heme|vogelstein|cosmic1|hmf	TRUE	TRUE	TRUE	FALSE	FALSE	0	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
BCL2L1	7	AZ300|PMCC|TS500|TEMPUS|oncokb|msk_impact|foundation_one	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
BCL2L11	4	TS500|TEMPUS|oncokb|msk_impact	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
BCL2L12	2	NGC_known|cosmic2	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
BCL2L2	4	PMCC|TS500|foundation_one|foundation_one_heme	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
BCL3	3	NGC_known|foundation_one_heme|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
BCL6	10	PMCC|TS500|TEMPUS|NGC_known|cancermine|oncokb|msk_impact|msk_heme|foundation_one_heme|cosmic1	TRUE	TRUE	TRUE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
BCL6B	1	cancermine	FALSE	FALSE	TRUE	FALSE	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
BCL7A	4	TEMPUS|NGC_known|foundation_one_heme|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	0	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
BCL9	5	AZ300|NGC_known|cancermine|foundation_one_heme|cosmic1	TRUE	TRUE	TRUE	FALSE	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
BCL9L	2	NGC_known|cosmic1	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
BCLAF1	4	TEMPUS|NGC_known|NGC_other|cosmic2	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
